停車票號,入場時間,出場時間,發票號碼,收費金額
2020111019359993,2020/11/10 19:35:00,2020/11/11 08:07:59,,120
2020111108210002,2020/11/11 08:21:00,2020/11/11 13:05:33,56937427,60
2020111101569995,2020/11/11 01:56:00,2020/11/11 13:10:52,,60
2020111112510006,2020/11/11 12:51:00,2020/11/11 13:38:37,56937428,20
2020111010009981,2020/11/10 10:00:00,2020/11/11 13:53:42,,120
2020111107259997,2020/11/11 07:25:00,2020/11/11 15:05:45,56937429,60
2020111107129996,2020/11/11 07:12:00,2020/11/11 15:44:26,56937430,60
2020111109370004,2020/11/11 09:37:00,2020/11/11 17:03:53,56937431,60
2020111109140003,2020/11/11 09:14:00,2020/11/11 17:14:37,56937432,60
2020111116020008,2020/11/11 16:02:00,2020/11/11 17:47:33,56937433,40
2020111108039999,2020/11/11 08:03:00,2020/11/11 17:49:36,56937434,60
2020111108080001,2020/11/11 08:08:00,2020/11/11 19:28:49,56937435,60
2020111113030007,2020/11/11 13:03:00,2020/11/11 20:12:18,,60
2020111118460009,2020/11/11 18:46:00,2020/11/11 20:19:53,56937436,40
2020111118470010,2020/11/11 18:47:00,2020/11/11 20:35:11,56937437,40
2020111108009998,2020/11/11 08:00:00,2020/11/11 20:48:43,56937438,60
2020111110180005,2020/11/11 10:18:00,2020/11/11 21:02:44,,60
2020111120080012,2020/11/11 20:08:00,2020/11/11 21:21:34,56937439,30
2020111123260013,2020/11/11 23:26:00,2020/11/12 08:36:35,,80
2020111119130011,2020/11/11 19:13:00,2020/11/12 09:04:47,56937440,120
2020111208010016,2020/11/12 08:01:00,2020/11/12 10:34:52,,60
2020110817369946,2020/11/08 17:36:00,2020/11/12 12:04:44,,340
2020111210320023,2020/11/12 10:32:00,2020/11/12 12:21:57,56937441,40
2020111212000024,2020/11/12 12:00:00,2020/11/12 12:33:01,56937442,20
2020111209220018,2020/11/12 09:22:00,2020/11/12 12:36:55,56937443,60
2020111209520022,2020/11/12 09:52:00,2020/11/12 13:40:32,56937444,60
2020111213140025,2020/11/12 13:14:00,2020/11/12 14:33:49,56937445,30
2020111206580015,2020/11/12 06:58:00,2020/11/12 15:10:49,56937446,60
2020111214520028,2020/11/12 14:52:00,2020/11/12 15:19:06,,10
2020111214430027,2020/11/12 14:43:00,2020/11/12 16:19:30,56937447,40
2020111216080030,2020/11/12 16:08:00,2020/11/12 17:10:01,,30
2020111209430020,2020/11/12 09:43:00,2020/11/12 17:19:08,56937448,60
2020111208270017,2020/11/12 08:27:00,2020/11/12 18:06:51,56937449,60
2020111217060033,2020/11/12 17:06:00,2020/11/12 19:14:45,,50
2020111218460036,2020/11/12 18:46:00,2020/11/12 20:01:12,,30
2020111213290026,2020/11/12 13:29:00,2020/11/12 20:08:59,56937450,60
2020111216340031,2020/11/12 16:34:00,2020/11/12 20:20:20,56937451,60
2020111219200038,2020/11/12 19:20:00,2020/11/12 20:39:47,56937452,30
2020111215000029,2020/11/12 15:00:00,2020/11/12 21:23:39,,60
2020111218330035,2020/11/12 18:33:00,2020/11/12 22:20:24,,60
2020111209480021,2020/11/12 09:48:00,2020/11/12 22:44:14,56937453,60
2020111209430019,2020/11/12 09:43:00,2020/11/12 23:07:12,56937454,60
2020111221240039,2020/11/12 21:24:00,2020/11/13 00:14:09,56937455,60
2020111217090034,2020/11/12 17:09:00,2020/11/13 08:22:41,,120
2020111216350032,2020/11/12 16:35:00,2020/11/13 09:09:22,56937456,120
2020111300190042,2020/11/13 00:19:00,2020/11/13 09:39:06,,60
2020111309000050,2020/11/13 09:00:00,2020/11/13 10:14:58,56937457,30
2020111308210048,2020/11/13 08:21:00,2020/11/13 10:17:48,56937458,40
2020111219170037,2020/11/12 19:17:00,2020/11/13 10:42:06,,120
2020111308030046,2020/11/13 08:03:00,2020/11/13 10:43:30,,60
2020111310200053,2020/11/13 10:20:00,2020/11/13 11:40:27,56937459,30
2020111310520055,2020/11/13 10:52:00,2020/11/13 11:44:53,56937460,20
2020111311180056,2020/11/13 11:18:00,2020/11/13 14:15:55,,60
2020111312470057,2020/11/13 12:47:00,2020/11/13 15:19:36,56937461,60
2020111307140043,2020/11/13 07:14:00,2020/11/13 15:22:20,56937462,60
2020111307180044,2020/11/13 07:18:00,2020/11/13 15:37:49,56937463,60
2020111310280054,2020/11/13 10:28:00,2020/11/13 15:59:12,,60
2020111313020059,2020/11/13 13:02:00,2020/11/13 16:17:50,56937464,60
2020111308080047,2020/11/13 08:08:00,2020/11/13 16:43:31,56937465,60
2020111313510060,2020/11/13 13:51:00,2020/11/13 17:03:07,,60
2020111316010062,2020/11/13 16:01:00,2020/11/13 17:06:33,56937466,30
2020111308290049,2020/11/13 08:29:00,2020/11/13 18:11:37,56937467,60
2020111318090066,2020/11/13 18:09:00,2020/11/13 19:22:51,,30
2020111313000058,2020/11/13 13:00:00,2020/11/13 19:41:18,56937468,60
2020111309230051,2020/11/13 09:23:00,2020/11/13 19:42:43,56937469,60
2020111314180061,2020/11/13 14:18:00,2020/11/13 19:46:06,56937470,60
2020111319450069,2020/11/13 19:45:00,2020/11/13 20:54:25,56937471,30
2020111307550045,2020/11/13 07:55:00,2020/11/13 21:10:51,56937472,60
2020111321010071,2020/11/13 21:01:00,2020/11/13 21:16:30,,10
2020111317370063,2020/11/13 17:37:00,2020/11/13 21:26:14,56937473,60
2020111318260067,2020/11/13 18:26:00,2020/11/13 21:57:36,,60
2020111320180070,2020/11/13 20:18:00,2020/11/13 22:23:14,,50
2020111309350052,2020/11/13 09:35:00,2020/11/13 23:24:41,56937474,60
2020111319230068,2020/11/13 19:23:00,2020/11/13 23:55:47,56937475,60
2020111322250074,2020/11/13 22:25:00,2020/11/14 00:24:02,,40
2020111205300014,2020/11/12 05:30:00,2020/11/14 01:11:28,56937476,150
2020111318010064,2020/11/13 18:01:00,2020/11/14 04:11:54,56937477,150
2020111321380072,2020/11/13 21:38:00,2020/11/14 05:57:07,,150
2020111318060065,2020/11/13 18:06:00,2020/11/14 08:17:05,56937478,160
2020111407320079,2020/11/14 07:32:00,2020/11/14 09:21:38,56937479,40
2020111221380040,2020/11/12 21:38:00,2020/11/14 09:27:32,56937480,210
2020111322250073,2020/11/13 22:25:00,2020/11/14 10:20:29,,140
2020111409390086,2020/11/14 09:39:00,2020/11/14 10:21:04,56937481,20
2020111410230088,2020/11/14 10:23:00,2020/11/14 10:56:47,,20
2020111410490089,2020/11/14 10:49:00,2020/11/14 11:50:11,56937482,20
2020111411040090,2020/11/14 11:04:00,2020/11/14 12:01:55,56937483,20
2020111408220081,2020/11/14 08:22:00,2020/11/14 12:13:49,,80
2020111412170091,2020/11/14 12:17:00,2020/11/14 13:20:48,56937484,30
2020111400250076,2020/11/14 00:25:00,2020/11/14 13:51:41,,100
2020111407080078,2020/11/14 07:08:00,2020/11/14 14:12:09,56937485,100
2020111412230092,2020/11/14 12:23:00,2020/11/14 14:50:58,,50
2020111412420093,2020/11/14 12:42:00,2020/11/14 15:34:10,56937486,60
2020111323150075,2020/11/13 23:15:00,2020/11/14 15:35:27,,120
2020111017509990,2020/11/10 17:50:00,2020/11/14 15:37:35,,340
2020111414430096,2020/11/14 14:43:00,2020/11/14 15:38:03,56937487,20
2020111414330095,2020/11/14 14:33:00,2020/11/14 16:11:05,56937488,40
2020111407380080,2020/11/14 07:38:00,2020/11/14 17:10:56,56937489,100
2020111416100099,2020/11/14 16:10:00,2020/11/14 17:35:17,56937490,30
2020111415010097,2020/11/14 15:01:00,2020/11/14 19:13:44,56937491,90
2020111408320083,2020/11/14 08:32:00,2020/11/14 19:19:02,,100
2020111408280082,2020/11/14 08:28:00,2020/11/14 19:37:38,56937492,100
2020111415510098,2020/11/14 15:51:00,2020/11/14 19:53:13,,90
2020111413470094,2020/11/14 13:47:00,2020/11/14 19:57:02,,100
2020111419060101,2020/11/14 19:06:00,2020/11/14 20:12:14,,30
2020111409260084,2020/11/14 09:26:00,2020/11/14 20:13:11,56937493,100
2020111417090100,2020/11/14 17:09:00,2020/11/14 20:27:23,,70
2020111419580104,2020/11/14 19:58:00,2020/11/14 20:48:43,,20
2020111419350103,2020/11/14 19:35:00,2020/11/14 21:00:18,56937494,30
2020111410110087,2020/11/14 10:11:00,2020/11/14 21:14:18,56937495,100
2020111420090105,2020/11/14 20:09:00,2020/11/14 21:15:47,56937496,30
2020111419260102,2020/11/14 19:26:00,2020/11/14 22:06:26,56937497,60
2020111409340085,2020/11/14 09:34:00,2020/11/14 23:34:39,56937498,100
