停車票號,入場時間,出場時間,發票號碼,收費金額
2020110619022649,2020/11/06 19:02:00,2020/11/06 19:54:28,,20
2020110618262647,2020/11/06 18:26:00,2020/11/06 19:59:29,,40
2020110619272654,2020/11/06 19:27:00,2020/11/06 20:01:13,56945847,20
2020110619002648,2020/11/06 19:00:00,2020/11/06 20:04:25,,30
2020110619222652,2020/11/06 19:22:00,2020/11/06 20:37:06,56945848,30
2020110619182651,2020/11/06 19:18:00,2020/11/06 20:48:40,,30
2020110614422644,2020/11/06 14:42:00,2020/11/06 21:05:26,,60
2020110619332655,2020/11/06 19:33:00,2020/11/06 21:35:38,,50
2020110619402656,2020/11/06 19:40:00,2020/11/06 21:53:38,,50
2020110619422657,2020/11/06 19:42:00,2020/11/06 22:29:22,56945849,60
2020110619242653,2020/11/06 19:24:00,2020/11/07 03:08:36,,160
2020110119082536,2020/11/01 19:08:00,2020/11/07 09:49:39,56945850,500
2020110620222658,2020/11/06 20:22:00,2020/11/07 11:10:04,56945851,160
2020110623462659,2020/11/06 23:46:00,2020/11/07 11:11:25,,110
2020110700432660,2020/11/07 00:43:00,2020/11/07 12:11:06,,100
2020110704232661,2020/11/07 04:23:00,2020/11/07 12:46:30,,100
2020110710382667,2020/11/07 10:38:00,2020/11/07 13:51:27,56945852,100
2020110712562672,2020/11/07 12:56:00,2020/11/07 13:57:13,,45
2020110712562673,2020/11/07 12:56:00,2020/11/07 13:58:21,56945853,45
2020110616042645,2020/11/06 16:04:00,2020/11/07 14:42:07,,160
2020110712572674,2020/11/07 12:57:00,2020/11/07 15:05:38,,75
2020110712392671,2020/11/07 12:39:00,2020/11/07 15:45:19,,100
2020110706202662,2020/11/07 06:20:00,2020/11/07 16:34:23,,100
2020110710012664,2020/11/07 10:01:00,2020/11/07 17:40:05,56945854,100
2020110710442668,2020/11/07 10:44:00,2020/11/07 18:29:54,56945855,100
2020110717412677,2020/11/07 17:41:00,2020/11/07 18:33:16,,30
2020110706242663,2020/11/07 06:24:00,2020/11/07 18:35:19,56945856,100
2020110712232670,2020/11/07 12:23:00,2020/11/07 18:50:34,56945857,100
2020110716222676,2020/11/07 16:22:00,2020/11/07 18:51:17,,75
2020110717492678,2020/11/07 17:49:00,2020/11/07 19:01:43,56945858,45
2020110718282681,2020/11/07 18:28:00,2020/11/07 19:19:11,56945859,30
2020110718222680,2020/11/07 18:22:00,2020/11/07 20:16:06,,60
2020110718512683,2020/11/07 18:51:00,2020/11/07 20:17:48,,45
2020110711432669,2020/11/07 11:43:00,2020/11/07 20:18:50,,100
2020110714082675,2020/11/07 14:08:00,2020/11/07 20:40:39,56945860,100
2020110719582685,2020/11/07 19:58:00,2020/11/07 21:51:06,,60
2020110718412682,2020/11/07 18:41:00,2020/11/07 22:49:18,56945861,100
2020110710282665,2020/11/07 10:28:00,2020/11/08 09:30:02,,200
2020110810222694,2020/11/08 10:22:00,2020/11/08 11:05:53,,30
2020110810302695,2020/11/08 10:30:00,2020/11/08 11:06:16,,30
2020110809052692,2020/11/08 09:05:00,2020/11/08 11:46:43,,90
2020110618252646,2020/11/06 18:25:00,2020/11/08 13:19:08,56945862,260
2020110722572687,2020/11/07 22:57:00,2020/11/08 13:43:25,56945863,145
2020110813212701,2020/11/08 13:21:00,2020/11/08 13:55:59,56945864,30
2020110806102690,2020/11/08 06:10:00,2020/11/08 14:55:31,,100
2020110806342691,2020/11/08 06:34:00,2020/11/08 16:34:10,,100
2020110812082700,2020/11/08 12:08:00,2020/11/08 16:55:40,56945865,100
2020110811322699,2020/11/08 11:32:00,2020/11/08 17:44:19,56945866,100
2020110811312698,2020/11/08 11:31:00,2020/11/08 17:45:24,56945867,100
2020110509492615,2020/11/05 09:49:00,2020/11/08 17:46:11,56945868,320
2020110806082689,2020/11/08 06:08:00,2020/11/08 17:50:24,,100
2020110719182684,2020/11/07 19:18:00,2020/11/08 18:04:19,56945869,200
2020110818052705,2020/11/08 18:05:00,2020/11/08 18:07:59,,30
2020110710362666,2020/11/07 10:36:00,2020/11/08 18:10:42,56945870,200
2020110810332696,2020/11/08 10:33:00,2020/11/08 18:20:42,56945871,100
2020110809462693,2020/11/08 09:46:00,2020/11/08 18:38:29,56945872,100
2020110818012704,2020/11/08 18:01:00,2020/11/08 19:13:55,,45
2020110810402697,2020/11/08 10:40:00,2020/11/08 19:33:43,,100
2020110818502707,2020/11/08 18:50:00,2020/11/08 19:59:45,,45
2020110818112706,2020/11/08 18:11:00,2020/11/08 20:04:48,,60
2020110817262703,2020/11/08 17:26:00,2020/11/08 20:12:00,56945873,90
2020110819392709,2020/11/08 19:39:00,2020/11/08 20:53:07,,45
2020110800572688,2020/11/08 00:57:00,2020/11/08 21:04:09,,100
2020110814282702,2020/11/08 14:28:00,2020/11/08 21:23:14,,100
2020110819022708,2020/11/08 19:02:00,2020/11/08 21:43:24,,90
2020110821172711,2020/11/08 21:17:00,2020/11/08 22:28:19,56945874,45
2020110722402686,2020/11/07 22:40:00,2020/11/08 22:40:42,56945875,145
2020110718162679,2020/11/07 18:16:00,2020/11/09 06:21:23,56945876,260
2020110822282713,2020/11/08 22:28:00,2020/11/09 08:24:53,,120
2020110821412712,2020/11/08 21:41:00,2020/11/09 08:32:37,56945877,135
2020110820302710,2020/11/08 20:30:00,2020/11/09 09:55:15,,160
2020110900052715,2020/11/09 00:05:00,2020/11/09 11:06:33,56945878,60
2020110908312722,2020/11/09 08:31:00,2020/11/09 11:18:44,56945879,60
2020110911102730,2020/11/09 11:10:00,2020/11/09 12:31:32,,30
2020110907532719,2020/11/09 07:53:00,2020/11/09 12:49:09,56945880,60
2020110913112731,2020/11/09 13:11:00,2020/11/09 13:39:15,56945881,20
2020110909352727,2020/11/09 09:35:00,2020/11/09 13:58:40,56945882,60
2020110913412733,2020/11/09 13:41:00,2020/11/09 14:10:58,,20
2020110908322723,2020/11/09 08:32:00,2020/11/09 14:27:13,56945883,60
2020110913422734,2020/11/09 13:42:00,2020/11/09 14:47:16,,30
2020110908252721,2020/11/09 08:25:00,2020/11/09 15:37:29,,60
2020110913162732,2020/11/09 13:16:00,2020/11/09 16:05:01,,60
2020110906272716,2020/11/09 06:27:00,2020/11/09 16:35:08,,60
2020110908522725,2020/11/09 08:52:00,2020/11/09 16:46:49,56945884,60
2020110909352728,2020/11/09 09:35:00,2020/11/09 16:50:55,56945885,60
2020110909562729,2020/11/09 09:56:00,2020/11/09 17:50:31,,60
2020110907462718,2020/11/09 07:46:00,2020/11/09 18:22:01,56945886,60
2020110907592720,2020/11/09 07:59:00,2020/11/09 18:33:23,56945887,60
2020110908402724,2020/11/09 08:40:00,2020/11/09 18:48:32,56945888,60
2020110907382717,2020/11/09 07:38:00,2020/11/09 19:03:11,56945889,60
2020110909332726,2020/11/09 09:33:00,2020/11/09 19:14:22,56945890,60
2020110918562738,2020/11/09 18:56:00,2020/11/09 19:46:34,56945891,20
2020110917462736,2020/11/09 17:46:00,2020/11/09 19:53:44,,50
2020110918042737,2020/11/09 18:04:00,2020/11/09 21:10:24,56945892,60
2020110900032714,2020/11/09 00:03:00,2020/11/10 06:50:07,56945893,120
2020110923092739,2020/11/09 23:09:00,2020/11/10 09:08:18,56945894,80
2020110422552606,2020/11/04 22:55:00,2020/11/10 10:52:32,,470
2020111008582751,2020/11/10 08:58:00,2020/11/10 12:56:49,56945895,60
2020111008372750,2020/11/10 08:37:00,2020/11/10 14:03:01,56945896,60
2020111008212747,2020/11/10 08:21:00,2020/11/10 14:34:45,56945897,60
2020111007582745,2020/11/10 07:58:00,2020/11/10 14:53:39,56945898,60
2020111008262749,2020/11/10 08:26:00,2020/11/10 15:24:51,,60
2020111008132746,2020/11/10 08:13:00,2020/11/10 15:46:57,56945899,60
2020111013482756,2020/11/10 13:48:00,2020/11/10 15:51:46,56945900,50
2020111006182740,2020/11/10 06:18:00,2020/11/10 16:34:29,,60
2020111015042757,2020/11/10 15:04:00,2020/11/10 17:09:39,56945901,50
2020111009252752,2020/11/10 09:25:00,2020/11/10 17:15:07,56945902,60
2020111008242748,2020/11/10 08:24:00,2020/11/10 17:17:24,,60
2020111017162758,2020/11/10 17:16:00,2020/11/10 17:40:05,,20
