停車票號,入場時間,出場時間,發票號碼,收費金額
2021020417083621,2021/02/04 17:08:00,2021/02/04 17:11:12,56697207,15
2021020407373599,2021/02/04 07:37:00,2021/02/04 17:12:13,56697208,150
2021020407353597,2021/02/04 07:35:00,2021/02/04 17:15:09,56697209,150
2021020407473600,2021/02/04 07:47:00,2021/02/04 17:19:58,56697210,150
2021020417113622,2021/02/04 17:11:00,2021/02/04 17:45:59,56697211,30
2021020417363623,2021/02/04 17:36:00,2021/02/04 18:00:39,56697212,15
2021020406263593,2021/02/04 06:26:00,2021/02/04 18:07:07,未開發票,150
2021020407373598,2021/02/04 07:37:00,2021/02/04 18:15:52,56697213,150
2021020417033620,2021/02/04 17:03:00,2021/02/04 18:33:39,56697214,45
2021020416463619,2021/02/04 16:46:00,2021/02/04 18:43:21,未開發票,60
2021020408023601,2021/02/04 08:02:00,2021/02/04 18:48:50,56697215,150
2021020418283624,2021/02/04 18:28:00,2021/02/04 19:32:57,未開發票,45
2021020419193625,2021/02/04 19:19:00,2021/02/04 20:06:06,56697216,30
2021020406293594,2021/02/04 06:29:00,2021/02/04 20:13:01,56697217,150
2021020420113626,2021/02/04 20:11:00,2021/02/04 20:15:59,56697218,15
2021020408343604,2021/02/04 08:34:00,2021/02/04 20:20:04,56697219,150
2021020414273614,2021/02/04 14:27:00,2021/02/04 20:46:40,56697220,150
2021020420413627,2021/02/04 20:41:00,2021/02/04 22:14:57,未開發票,60
2021020502293629,2021/02/05 02:29:00,2021/02/05 02:48:36,未開發票,15
2021020412033612,2021/02/04 12:03:00,2021/02/05 08:34:24,56697221,300
2021020508583641,2021/02/05 08:58:00,2021/02/05 09:25:04,56697222,15
2021020508243640,2021/02/05 08:24:00,2021/02/05 09:50:12,56697223,45
2021020509413642,2021/02/05 09:41:00,2021/02/05 10:49:56,56697224,45
2021020510283646,2021/02/05 10:28:00,2021/02/05 10:56:22,56697225,15
2021020509563644,2021/02/05 09:56:00,2021/02/05 11:05:51,未開發票,45
2021020510153645,2021/02/05 10:15:00,2021/02/05 11:16:33,56697226,30
2021020509463643,2021/02/05 09:46:00,2021/02/05 11:23:13,56697227,60
2021020507163630,2021/02/05 07:16:00,2021/02/05 12:23:51,56697228,150
2021020513123650,2021/02/05 13:12:00,2021/02/05 13:15:59,未開發票,15
2021020513463651,2021/02/05 13:46:00,2021/02/05 14:10:32,56697229,15
2021020512563648,2021/02/05 12:56:00,2021/02/05 15:08:23,56697230,75
2021020512563649,2021/02/05 12:56:00,2021/02/05 15:09:07,56697231,75
2021020513523652,2021/02/05 13:52:00,2021/02/05 15:21:52,未開發票,45
2021020507553636,2021/02/05 07:55:00,2021/02/05 15:41:31,56697232,150
2021020515123655,2021/02/05 15:12:00,2021/02/05 16:14:32,未開發票,45
2021020507383633,2021/02/05 07:38:00,2021/02/05 16:35:33,56697233,150
2021020507473635,2021/02/05 07:47:00,2021/02/05 16:46:53,56697234,150
2021020514033653,2021/02/05 14:03:00,2021/02/05 16:54:58,56697235,90
2021020508143638,2021/02/05 08:14:00,2021/02/05 17:02:02,56697236,150
2021020500353628,2021/02/05 00:35:00,2021/02/05 17:08:08,未開發票,150
2021020507263631,2021/02/05 07:26:00,2021/02/05 17:19:50,56697237,150
2021020507383632,2021/02/05 07:38:00,2021/02/05 17:31:12,56697238,150
2021020507463634,2021/02/05 07:46:00,2021/02/05 17:36:03,56697239,150
2021020515353657,2021/02/05 15:35:00,2021/02/05 18:05:01,未開發票,75
